var_1	var_2	NA	NA	NA	NA	rho
Alcalinity_of_ash	Alcohol	NA	NA	NA	NA	-0.306597890451
Alcalinity_of_ash	Malic_acid	NA	NA	NA	NA	0.304069127268
Alcalinity_of_ash	Ash	NA	NA	NA	NA	0.366373641139
Magnesium	Alcohol	NA	NA	NA	NA	0.365503384096
Magnesium	Ash	NA	NA	NA	NA	0.36148788286
Total_phenols	Alcohol	NA	NA	NA	NA	0.310920069815
Total_phenols	Alcalinity_of_ash	NA	NA	NA	NA	-0.376657122706
Flavanoids	Malic_acid	NA	NA	NA	NA	-0.32520213627
Flavanoids	Alcalinity_of_ash	NA	NA	NA	NA	-0.443769994332
Flavanoids	Total_phenols	NA	NA	NA	NA	0.879404372793
Nonflavanoid_phenols	Alcalinity_of_ash	NA	NA	NA	NA	0.389389865363
Nonflavanoid_phenols	Total_phenols	NA	NA	NA	NA	-0.448013074018
Nonflavanoid_phenols	Flavanoids	NA	NA	NA	NA	-0.54389740016
Proanthocyanins	Total_phenols	NA	NA	NA	NA	0.666689371476
Proanthocyanins	Flavanoids	NA	NA	NA	NA	0.730321686519
Proanthocyanins	Nonflavanoid_phenols	NA	NA	NA	NA	-0.384628850098
Color_intensity	Alcohol	NA	NA	NA	NA	0.635424525302
Color_intensity	Magnesium	NA	NA	NA	NA	0.35702874045
Hue	Malic_acid	NA	NA	NA	NA	-0.560264885344
Hue	Alcalinity_of_ash	NA	NA	NA	NA	-0.352507017021
Hue	Total_phenols	NA	NA	NA	NA	0.439457476093
Hue	Flavanoids	NA	NA	NA	NA	0.535430142135
Hue	Proanthocyanins	NA	NA	NA	NA	0.342794651892
Hue	Color_intensity	NA	NA	NA	NA	-0.4185217619
OD280_OD315_of_diluted_wines	Alcalinity_of_ash	NA	NA	NA	NA	-0.325889759247
OD280_OD315_of_diluted_wines	Total_phenols	NA	NA	NA	NA	0.687206995997
OD280_OD315_of_diluted_wines	Flavanoids	NA	NA	NA	NA	0.741532894546
OD280_OD315_of_diluted_wines	Nonflavanoid_phenols	NA	NA	NA	NA	-0.494949983285
OD280_OD315_of_diluted_wines	Proanthocyanins	NA	NA	NA	NA	0.554031380059
OD280_OD315_of_diluted_wines	Color_intensity	NA	NA	NA	NA	-0.317515595911
OD280_OD315_of_diluted_wines	Hue	NA	NA	NA	NA	0.485454339087
Proline	Alcohol	NA	NA	NA	NA	0.633579858617
Proline	Alcalinity_of_ash	NA	NA	NA	NA	-0.456089728788
Proline	Magnesium	NA	NA	NA	NA	0.507574857637
Proline	Total_phenols	NA	NA	NA	NA	0.419469856665
Proline	Flavanoids	NA	NA	NA	NA	0.429904414263
Proline	Proanthocyanins	NA	NA	NA	NA	0.308249323207
Proline	Color_intensity	NA	NA	NA	NA	0.457096419901
